TYPE	Proliferation	Invasion	Metastasis	Migration	DNA_Repair	Apoptosis	Nodes	Node1	Node2	mutant1	mutant2	gene1	gene2
DOUBLE	0.0269787140000002	1.1033274028	2.600155	0.600328602799999	0	0.4792326	AR_ERG_oe__EP300_ko	AR_ERG_oe	EP300_ko	OE	KO	AR_ERG	EP300
DOUBLE	-0.0693762804000002	1.1969644306	2.5417913	0.548312130599999	0.0072	0.6281586	AR_ERG_oe__EP300_oe	AR_ERG_oe	EP300_oe	OE	OE	AR_ERG	EP300
DOUBLE	0.0063229095999997	1.2513916696	2.5157615	0.527406609599999	-0.0016	0.6941077	AR_ERG_oe__ERG_ko	AR_ERG_oe	ERG_ko	OE	KO	AR_ERG	ERG
DOUBLE	0.0841454585999992	1.2211228443	2.66947	0.6698479143	0.000399999999999998	0.6526837	AR_ERG_oe__ERG_oe	AR_ERG_oe	ERG_oe	OE	OE	AR_ERG	ERG
DOUBLE	-0.770028735	1.96273711	0.7686016	-1.22326729	-0.0264	2.961538	AR_ERG_oe__ERK_ko	AR_ERG_oe	ERK_ko	OE	KO	AR_ERG	ERK
DOUBLE	0.0651934596999997	1.0324739997	2.552472	0.5563017997	-0.000600000000000003	0.3868154	AR_ERG_oe__ERK_oe	AR_ERG_oe	ERK_oe	OE	OE	AR_ERG	ERK
DOUBLE	-0.00287187840000058	1.2269963886	2.4864163	0.4869337886	-0.000200000000000006	0.6440258	AR_ERG_oe__ETS1_ko	AR_ERG_oe	ETS1_ko	OE	KO	AR_ERG	ETS1
DOUBLE	0.0971271195999996	1.1039596356	2.702525	0.7020912756	0.0012	0.4287504	AR_ERG_oe__ETS1_oe	AR_ERG_oe	ETS1_oe	OE	OE	AR_ERG	ETS1
DOUBLE	0.0315466767999997	0.9887735057	2.541704	0.5401028057	-0.003	0.4535916	AR_ERG_oe__ETV1_ko	AR_ERG_oe	ETV1_ko	OE	KO	AR_ERG	ETV1
DOUBLE	0.00282815959999994	1.1602613974	2.5253477	0.523939697399999	-0.002	0.5295145	AR_ERG_oe__ETV1_oe	AR_ERG_oe	ETV1_oe	OE	OE	AR_ERG	ETV1
DOUBLE	-0.0188791610000005	1.1075736615	2.5054515	0.508002161499999	0.0038	0.5132205	AR_ERG_oe__EZH2_ko	AR_ERG_oe	EZH2_ko	OE	KO	AR_ERG	EZH2
DOUBLE	-0.11895467	1.6893413634	2.9900926	0.990847263399999	0.000199999999999999	0.3973094	AR_ERG_oe__EZH2_oe	AR_ERG_oe	EZH2_oe	OE	OE	AR_ERG	EZH2
DOUBLE	-0.0483428699999999	-0.0346014143	2.588635	0.5920118857	0.0064	-1.0048	AR_ERG_oe__FADD_ko	AR_ERG_oe	FADD_ko	OE	KO	AR_ERG	FADD
DOUBLE	0.172500755	1.2987255615	2.6315737	0.634951871499999	-0.0024	0.7846308	AR_ERG_oe__FADD_oe	AR_ERG_oe	FADD_oe	OE	OE	AR_ERG	FADD
DOUBLE	0.191224064	0.884647075	2.5795859	0.590718275	-0.000600000000000003	0.2693966	AR_ERG_oe__FGFR3_ko	AR_ERG_oe	FGFR3_ko	OE	KO	AR_ERG	FGFR3
DOUBLE	0.0195989689999996	1.2719460836	2.2624557	0.267116083599999	-0.0024	0.8070421	AR_ERG_oe__FGFR3_oe	AR_ERG_oe	FGFR3_oe	OE	OE	AR_ERG	FGFR3
DOUBLE	0.00579778460000036	1.2439598076	2.5934228	0.6023931776	0.0018	0.5968907	AR_ERG_oe__FOS_ko	AR_ERG_oe	FOS_ko	OE	KO	AR_ERG	FOS
DOUBLE	0.1058393098	0.9734964987	2.6064386	0.6020165987	0.0016	0.2985453	AR_ERG_oe__FOS_oe	AR_ERG_oe	FOS_oe	OE	OE	AR_ERG	FOS
DOUBLE	-0.0628111404000005	0.994477153599999	2.5827965	0.5854700536	0.0022	0.4406574	AR_ERG_oe__FOXA1_ko	AR_ERG_oe	FOXA1_ko	OE	KO	AR_ERG	FOXA1
DOUBLE	-0.8892652	0.2304508	-2.0098	-4.0166	0.0014	0.5038735	AR_ERG_oe__FOXA1_oe	AR_ERG_oe	FOXA1_oe	OE	OE	AR_ERG	FOXA1
DOUBLE	0.0970493899999996	1.0141775268	2.5629601	0.5699654268	-0.000199999999999999	0.3943335	AR_ERG_oe__FOXO_ko	AR_ERG_oe	FOXO_ko	OE	KO	AR_ERG	FOXO
DOUBLE	0.4324008	-1.83196008	-2.0098	-4.0166	0.0296	0.3080134	AR_ERG_oe__FOXO_oe	AR_ERG_oe	FOXO_oe	OE	OE	AR_ERG	FOXO
DOUBLE	-0.0223881700000002	1.144201597	2.4133346	0.417562597	-0.0012	0.6519727	AR_ERG_oe__FRS2_ko	AR_ERG_oe	FRS2_ko	OE	KO	AR_ERG	FRS2
DOUBLE	0.0478657499999997	0.6740331278	2.7848825	0.7802062778	0.001201	-0.0341999999999999	AR_ERG_oe__FRS2_oe	AR_ERG_oe	FRS2_oe	OE	OE	AR_ERG	FRS2
DOUBLE	-0.00944663100000032	1.197436928	2.6006963	0.608920127999999	0.001	0.5120117	AR_ERG_oe__fused_event_ko	AR_ERG_oe	fused_event_ko	OE	KO	AR_ERG	fused_event
DOUBLE	0.0269564412999994	1.2027439923	2.5490448	0.5505332923	0.0012	0.5942076	AR_ERG_oe__fused_event_oe	AR_ERG_oe	fused_event_oe	OE	OE	AR_ERG	fused_event
DOUBLE	0.112253163	1.055298245	2.3852883	0.396135944999999	-0.0028	0.5571557	AR_ERG_oe__GADD45_ko	AR_ERG_oe	GADD45_ko	OE	KO	AR_ERG	GADD45
DOUBLE	0.104660439	1.0028373279	2.5211682	0.520919527899999	0.0018	0.3512273	AR_ERG_oe__GADD45_oe	AR_ERG_oe	GADD45_oe	OE	OE	AR_ERG	GADD45
DOUBLE	0.40095472516	-0.17003800104	3.3145	1.31202183096	0.0036	-0.986905982	AR_ERG_oe__GLI_ko	AR_ERG_oe	GLI_ko	OE	KO	AR_ERG	GLI
DOUBLE	-1.756839	8.7297373245	-0.76532612	-2.7716191755	-0.0118	9.947383	AR_ERG_oe__GLI_oe	AR_ERG_oe	GLI_oe	OE	OE	AR_ERG	GLI
DOUBLE	0.0186238483999999	1.0341077534	2.4988264	0.498668153399999	0.0014	0.3864154	AR_ERG_oe__GLUT1_ko	AR_ERG_oe	GLUT1_ko	OE	KO	AR_ERG	GLUT1
DOUBLE	0.0088489789999997	0.991652086999999	2.4502688	0.455603517	0.0074	0.4712265	AR_ERG_oe__GLUT1_oe	AR_ERG_oe	GLUT1_oe	OE	OE	AR_ERG	GLUT1
DOUBLE	0.0268876989999995	1.281388733	2.5184506	0.523755273	-0.0022	0.7130017	AR_ERG_oe__GSH_ko	AR_ERG_oe	GSH_ko	OE	KO	AR_ERG	GSH
DOUBLE	0.0231051496000001	1.1601269946	2.4649323	0.467310964599999	-0.004	0.5329145	AR_ERG_oe__GSH_oe	AR_ERG_oe	GSH_oe	OE	OE	AR_ERG	GSH
DOUBLE	0.0707174699999999	1.3147582528	2.6680575	0.672100052799999	-0.003	0.6259316	AR_ERG_oe__GSK3_ko	AR_ERG_oe	GSK3_ko	OE	KO	AR_ERG	GSK3
DOUBLE	0.110633848846	-2.801078327154	-0.83703486	-2.827064277154	0.0274	-0.21182215	AR_ERG_oe__GSK3_oe	AR_ERG_oe	GSK3_oe	OE	OE	AR_ERG	GSK3
DOUBLE	2.699840518	0.589831127999999	2.46898297	0.472888987999999	-0.02	0.4981266	AR_ERG_oe__HIF1_ko	AR_ERG_oe	HIF1_ko	OE	KO	AR_ERG	HIF1
DOUBLE	-4.014	2.248024935	2.3862893	0.407577135	0.0246	0.2759043	AR_ERG_oe__HIF1_oe	AR_ERG_oe	HIF1_oe	OE	OE	AR_ERG	HIF1
DOUBLE	-0.3699759504	0.9566259946	2.2204133	0.2235719646	-0.0034	0.5999436	AR_ERG_oe__HSPs_ko	AR_ERG_oe	HSPs_ko	OE	KO	AR_ERG	HSPs
DOUBLE	-0.285102235	2.9364213252	4.4818398	2.4829126252	0.0018	0.7443899	AR_ERG_oe__HSPs_oe	AR_ERG_oe	HSPs_oe	OE	OE	AR_ERG	HSPs
DOUBLE	0.0424128753000002	1.0737150343	2.431263	0.4309863343	0.0038	0.5219068	AR_ERG_oe__IDH1_ko	AR_ERG_oe	IDH1_ko	OE	KO	AR_ERG	IDH1
DOUBLE	-0.0133453902000005	1.0453126655	2.58034	0.579973665499999	-0.0016	0.3931625	AR_ERG_oe__IDH1_oe	AR_ERG_oe	IDH1_oe	OE	OE	AR_ERG	IDH1
DOUBLE	0.0753705389999997	1.147338796	2.4944187	0.504515196	-0.0022	0.5734222	AR_ERG_oe__IKK_ko	AR_ERG_oe	IKK_ko	OE	KO	AR_ERG	IKK
DOUBLE	0.0178464939999996	1.2567205894	2.6392362	0.6423175494	0.0014	0.6127402	AR_ERG_oe__IKK_oe	AR_ERG_oe	IKK_oe	OE	OE	AR_ERG	IKK
DOUBLE	-0.00969283100000062	1.182272273	2.529514	0.536875772999999	0.004	0.5815967	AR_ERG_oe__JNK_ko	AR_ERG_oe	JNK_ko	OE	KO	AR_ERG	JNK
DOUBLE	-0.51705547	1.681076967	1.980577	-0.0168510030000006	-0.0276	2.4659455	AR_ERG_oe__JNK_oe	AR_ERG_oe	JNK_oe	OE	OE	AR_ERG	JNK
DOUBLE	0.0714966500000003	1.218421739	2.5498002	0.555099639	-0.001	0.6428258	AR_ERG_oe__JUN_ko	AR_ERG_oe	JUN_ko	OE	KO	AR_ERG	JUN
DOUBLE	0.000614651700000302	1.1373839917	2.5357299	0.533311051699999	-0.000600000000000003	0.6167846	AR_ERG_oe__JUN_oe	AR_ERG_oe	JUN_oe	OE	OE	AR_ERG	JUN
DOUBLE	0.1141132404	0.9625535184	2.5489052	0.5555597184	0.0016	0.3794685	AR_ERG_oe__Lactic_acid_ko	AR_ERG_oe	Lactic_acid_ko	OE	KO	AR_ERG	Lactic_acid
DOUBLE	0.11664757533	1.03645600933	2.5319258	0.53381544933	-0.0048	0.4429821	AR_ERG_oe__Lactic_acid_oe	AR_ERG_oe	Lactic_acid_oe	OE	OE	AR_ERG	Lactic_acid
DOUBLE	-0.0223737274000002	1.1896186283	2.5470728	0.546216728299999	-0.003	0.5297145	AR_ERG_oe__LDHA_ko	AR_ERG_oe	LDHA_ko	OE	KO	AR_ERG	LDHA
DOUBLE	0.11329213214	0.87149686914	2.5878605	0.58660762914	0.0024	0.2673573	AR_ERG_oe__LDHA_oe	AR_ERG_oe	LDHA_oe	OE	OE	AR_ERG	LDHA
DOUBLE	0.0220875449999998	1.193027523	2.5228158	0.532177223	-0.0038	0.5918121	AR_ERG_oe__MAP3K1_3_ko	AR_ERG_oe	MAP3K1_3_ko	OE	KO	AR_ERG	MAP3K1_3
DOUBLE	0.0419183356000001	-0.0843949309000003	2.4766393	0.4757109691	-0.0016	-1.0046	AR_ERG_oe__MAP3K1_3_oe	AR_ERG_oe	MAP3K1_3_oe	OE	OE	AR_ERG	MAP3K1_3
DOUBLE	0.485429691299999	-0.0393256417000005	2.2359762	0.2350839583	-0.002	-0.4364974	AR_ERG_oe__MDM2_ko	AR_ERG_oe	MDM2_ko	OE	KO	AR_ERG	MDM2
DOUBLE	-1.1840085804	2.9238208866	3.7941636	1.8002929866	-0.0022	1.7032377	AR_ERG_oe__MDM2_oe	AR_ERG_oe	MDM2_oe	OE	OE	AR_ERG	MDM2
DOUBLE	-0.0950074294000003	1.2201090534	2.4834495	0.4888619534	0.01	0.6001167	AR_ERG_oe__MED12_ko	AR_ERG_oe	MED12_ko	OE	KO	AR_ERG	MED12
DOUBLE	0.1695980098	0.6299252558	2.6840504	0.6865130658	0.0016	0.022294	AR_ERG_oe__MED12_oe	AR_ERG_oe	MED12_oe	OE	OE	AR_ERG	MED12
DOUBLE	-0.0763657000000006	0.987550084	2.478097	0.487665883999999	0.000199999999999999	0.3495969	AR_ERG_oe__MEK1_2_ko	AR_ERG_oe	MEK1_2_ko	OE	KO	AR_ERG	MEK1_2
DOUBLE	0.0920848899999998	1.1268465795	2.5764643	0.583362019499999	0.002	0.4971266	AR_ERG_oe__MEK1_2_oe	AR_ERG_oe	MEK1_2_oe	OE	OE	AR_ERG	MEK1_2
DOUBLE	-0.14404	1.229919934	2.5926401	0.598184984	0.00199999999999999	0.5929436	AR_ERG_oe__mTORC1_ko	AR_ERG_oe	mTORC1_ko	OE	KO	AR_ERG	mTORC1
DOUBLE	0.236292756999999	1.001625879	2.6389228	0.649445779	-0.0062	0.3202394	AR_ERG_oe__mTORC1_oe	AR_ERG_oe	mTORC1_oe	OE	OE	AR_ERG	mTORC1
DOUBLE	-0.0278125774000002	1.1766457415	2.5611837	0.556187641499999	0.0012	0.5657026	AR_ERG_oe__mTORC2_ko	AR_ERG_oe	mTORC2_ko	OE	KO	AR_ERG	mTORC2
DOUBLE	0.0340414079999993	1.1328005914	2.5944865	0.594590291399999	-0.001087	0.5095778	AR_ERG_oe__mTORC2_oe	AR_ERG_oe	mTORC2_oe	OE	OE	AR_ERG	mTORC2
DOUBLE	2.33666463	0.1890182189	2.17083314	0.1699393589	0.0014	0.3943625	AR_ERG_oe__MXI1_ko	AR_ERG_oe	MXI1_ko	OE	KO	AR_ERG	MXI1
DOUBLE	-4.014	2.74897207	3.4055704	1.42879807	0.021	0.4029094	AR_ERG_oe__MXI1_oe	AR_ERG_oe	MXI1_oe	OE	OE	AR_ERG	MXI1
DOUBLE	-0.339464511	1.052302162	2.3326588	0.343778462	0.0266	0.5925365	AR_ERG_oe__MYC_ko	AR_ERG_oe	MYC_ko	OE	KO	AR_ERG	MYC
DOUBLE	-0.345690353	1.0436133915	2.3999163	0.405372891499999	0.0322	0.6175846	AR_ERG_oe__MYC_MAX_ko	AR_ERG_oe	MYC_MAX_ko	OE	KO	AR_ERG	MYC_MAX
DOUBLE	3.341215396	-0.759714847100001	2.653700479	0.6582813639	-0.0312	-0.958652991	AR_ERG_oe__MYC_MAX_oe	AR_ERG_oe	MYC_MAX_oe	OE	OE	AR_ERG	MYC_MAX
DOUBLE	0.3385348098	0.8415082548	2.5899246	0.5915741548	-0.0056	0.2218479	AR_ERG_oe__MYC_oe	AR_ERG_oe	MYC_oe	OE	OE	AR_ERG	MYC
DOUBLE	0.000516951999999904	0.757895018999999	2.6785022	0.681415568999999	0.007	0.1045642	AR_ERG_oe__NCOA3_ko	AR_ERG_oe	NCOA3_ko	OE	KO	AR_ERG	NCOA3
DOUBLE	0.14080153	1.3461302526	2.6802928	0.6839458526	-0.0162	0.6008907	AR_ERG_oe__NCOA3_oe	AR_ERG_oe	NCOA3_oe	OE	OE	AR_ERG	NCOA3
DOUBLE	0.107251839	1.0342270174	2.5225098	0.5287785174	-0.0026	0.2989453	AR_ERG_oe__NCOR1_ko	AR_ERG_oe	NCOR1_ko	OE	KO	AR_ERG	NCOR1
DOUBLE	-1.016588426	1.174671196	2.5102968	0.521843096	0.0058	0.834635	AR_ERG_oe__NCOR1_oe	AR_ERG_oe	NCOR1_oe	OE	OE	AR_ERG	NCOR1
DOUBLE	0.1748530798	0.8816611432	2.5269435	0.5235214432	0.0016	0.1709402	AR_ERG_oe__NCOR2_ko	AR_ERG_oe	NCOR2_ko	OE	KO	AR_ERG	NCOR2
DOUBLE	-0.99220815	1.314867495	2.5438163	0.548123244999999	0.006	0.963265	AR_ERG_oe__NCOR2_oe	AR_ERG_oe	NCOR2_oe	OE	OE	AR_ERG	NCOR2
DOUBLE	-0.0571234655000006	0.9593787125	2.274761	0.2798235125	0.0074	0.5504086	AR_ERG_oe__NF_kB_ko	AR_ERG_oe	NF_kB_ko	OE	KO	AR_ERG	NF_kB
DOUBLE	0.1314012897	1.4039474286	2.9896006	0.9896947286	-0.0124	0.4295625	AR_ERG_oe__NF_kB_oe	AR_ERG_oe	NF_kB_oe	OE	OE	AR_ERG	NF_kB
DOUBLE	0.0804383384999996	1.2339129945	2.5557245	0.556522194499999	-0.0052	0.6183879	AR_ERG_oe__NF1_ko	AR_ERG_oe	NF1_ko	OE	KO	AR_ERG	NF1
DOUBLE	0.0862789900000003	0.910704297000001	2.5493109	0.551074897	-0.002	0.3082924	AR_ERG_oe__NF1_oe	AR_ERG_oe	NF1_oe	OE	OE	AR_ERG	NF1
DOUBLE	0.0140985137999996	0.9467233584	2.5461865	0.546460898399999	0.000999999999999994	0.3788685	AR_ERG_oe__NKX3_1_ko	AR_ERG_oe	NKX3_1_ko	OE	KO	AR_ERG	NKX3_1
DOUBLE	0.0194346489999999	0.998001855999999	2.5846366	0.587402705999999	-0.006	0.3442803	AR_ERG_oe__NKX3_1_oe	AR_ERG_oe	NKX3_1_oe	OE	OE	AR_ERG	NKX3_1
DOUBLE	0.00258055000000024	1.1505990277	2.4496413	0.4560136277	-0.0032	0.4808326	AR_ERG_oe__p14ARF_ko	AR_ERG_oe	p14ARF_ko	OE	KO	AR_ERG	p14ARF
DOUBLE	0.449893822	0.190526711	2.167928	0.177973911	-0.000200000000000006	-0.1790871	AR_ERG_oe__p14ARF_oe	AR_ERG_oe	p14ARF_oe	OE	OE	AR_ERG	p14ARF
DOUBLE	-0.0237364304000005	1.2085394196	2.5028796	0.5102493196	0.0012	0.6239316	AR_ERG_oe__p15_ko	AR_ERG_oe	p15_ko	OE	KO	AR_ERG	p15
DOUBLE	-0.3571747804	0.9343934466	2.3610365	0.3610903866	0.0298	0.5128205	AR_ERG_oe__p15_oe	AR_ERG_oe	p15_oe	OE	OE	AR_ERG	p15
DOUBLE	0.0194048899999997	0.8880939126	2.6135781	0.616211152599999	0.0024	0.2339693	AR_ERG_oe__p21_ko	AR_ERG_oe	p21_ko	OE	KO	AR_ERG	p21
DOUBLE	-4.014	2.240454279	2.507895	0.516772778999999	0.0306	0.5152205	AR_ERG_oe__p21_oe	AR_ERG_oe	p21_oe	OE	OE	AR_ERG	p21
DOUBLE	0.130793919599999	0.8755149085	2.5805268	0.5779299085	0.0036	0.2250222	AR_ERG_oe__p38_ko	AR_ERG_oe	p38_ko	OE	KO	AR_ERG	p38
DOUBLE	0.9010595196	-0.8082969804	0.8472232	-1.1574395804	-0.0168	0.1486992	AR_ERG_oe__p38_oe	AR_ERG_oe	p38_oe	OE	OE	AR_ERG	p38
DOUBLE	-0.5989829102	3.6348533105	3.9122748	1.9117004705	-0.004	1.8096189	AR_ERG_oe__p53_ko	AR_ERG_oe	p53_ko	OE	KO	AR_ERG	p53
DOUBLE	0.6406316416	-3.3696792087	-1.944426144	-3.9452653687	0.0108	-0.12802614	AR_ERG_oe__p53_oe	AR_ERG_oe	p53_oe	OE	OE	AR_ERG	p53
DOUBLE	0.0744264595999997	1.0163476196	2.6159698	0.619071519599999	0.000199999999999999	0.4124564	AR_ERG_oe__p70S6kab_ko	AR_ERG_oe	p70S6kab_ko	OE	KO	AR_ERG	p70S6kab
DOUBLE	0.113858609599999	1.1699946263	2.5635127	0.5661970863	-0.0034	0.5661026	AR_ERG_oe__p70S6kab_oe	AR_ERG_oe	p70S6kab_oe	OE	OE	AR_ERG	p70S6kab
DOUBLE	0.000824957999999931	0.24515887	1.0523025	-0.94200583	0.0134	0.2310222	AR_ERG_oe__p90RSK_ko	AR_ERG_oe	p90RSK_ko	OE	KO	AR_ERG	p90RSK
DOUBLE	0.0569381499999997	1.132528695	2.5159713	0.523621294999999	0.0026	0.5052735	AR_ERG_oe__p90RSK_oe	AR_ERG_oe	p90RSK_oe	OE	OE	AR_ERG	p90RSK
DOUBLE	0.0912902545999996	1.0597762879	2.6310528	0.6328922479	0.0024	0.3949625	AR_ERG_oe__PDK1_ko	AR_ERG_oe	PDK1_ko	OE	KO	AR_ERG	PDK1
DOUBLE	0.100405739	0.9279356947	2.3791907	0.3822621947	-0.0034	0.4382975	AR_ERG_oe__PDK1_oe	AR_ERG_oe	PDK1_oe	OE	OE	AR_ERG	PDK1
DOUBLE	0.0834689600000003	0.978636993499999	2.5796065	0.5849449935	-0.000600000000000003	0.3422803	AR_ERG_oe__PHDs_ko	AR_ERG_oe	PHDs_ko	OE	KO	AR_ERG	PHDs
DOUBLE	2.71928403	0.6537941878	2.53295097	0.5333500778	-0.0178	0.5392616	AR_ERG_oe__PHDs_oe	AR_ERG_oe	PHDs_oe	OE	OE	AR_ERG	PHDs
DOUBLE	-1.1991453616	0.5529345904	-1.7293872316	-3.6957485096	0.0052	1.0181574	AR_ERG_oe__PI3K_ko	AR_ERG_oe	PI3K_ko	OE	KO	AR_ERG	PI3K
DOUBLE	0.0730184097999995	1.0829510988	2.6391287	0.6379121988	0.000799999999999995	0.4289504	AR_ERG_oe__PI3K_oe	AR_ERG_oe	PI3K_oe	OE	OE	AR_ERG	PI3K
DOUBLE	-1.17058556	0.48490514	-1.7438414	-3.69101256	0.0024	1.1143112	AR_ERG_oe__PIP3_ko	AR_ERG_oe	PIP3_ko	OE	KO	AR_ERG	PIP3
DOUBLE	1.01930935	1.363717445	3.8327765	1.840756495	-0.0154	0.1709402	AR_ERG_oe__PIP3_oe	AR_ERG_oe	PIP3_oe	OE	OE	AR_ERG	PIP3
DOUBLE	0.0458567419999998	1.052891926	2.4685806	0.481781025999999	-0.0042	0.4728855	AR_ERG_oe__PKC_ko	AR_ERG_oe	PKC_ko	OE	KO	AR_ERG	PKC
DOUBLE	-0.0818981700000001	0.509032154	1.8639073	-0.102777646	0.002	0.1039642	AR_ERG_oe__PKC_oe	AR_ERG_oe	PKC_oe	OE	OE	AR_ERG	PKC
DOUBLE	0.2681531998	0.0129161597999996	3.3078058	1.3111462438	0.0026	-0.970211964	AR_ERG_oe__PTCH1_ko	AR_ERG_oe	PTCH1_ko	OE	KO	AR_ERG	PTCH1
DOUBLE	-2.30842273	3.3154354	-2.0098	-4.0166	-0.0212	3.447857	AR_ERG_oe__PTCH1_oe	AR_ERG_oe	PTCH1_oe	OE	OE	AR_ERG	PTCH1
DOUBLE	0.1163003196	1.0282184646	2.4812592	0.4863758646	0.000599999999999996	0.4362715	AR_ERG_oe__PTEN_ko	AR_ERG_oe	PTEN_ko	OE	KO	AR_ERG	PTEN
DOUBLE	-1.0026049632	1.5041230708	2.6071546	0.6116635308	0.0052	1.0955156	AR_ERG_oe__PTEN_oe	AR_ERG_oe	PTEN_oe	OE	OE	AR_ERG	PTEN
DOUBLE	0.0511058299999991	1.031336475	2.5548847	0.559511474999999	-0.001	0.3873911	AR_ERG_oe__RAF_ko	AR_ERG_oe	RAF_ko	OE	KO	AR_ERG	RAF
DOUBLE	0.0852874495	1.0984495385	2.4301623	0.4359376385	-0.000199999999999999	0.5571557	AR_ERG_oe__RAF_oe	AR_ERG_oe	RAF_oe	OE	OE	AR_ERG	RAF
DOUBLE	0.0414404389999996	0.925518105999999	2.524868	0.528189105999999	-0.0036	0.2927984	AR_ERG_oe__RAGS_ko	AR_ERG_oe	RAGS_ko	OE	KO	AR_ERG	RAGS
DOUBLE	0.0268172990000002	1.115433988	2.483502	0.494652788	0.000399999999999998	0.5032735	AR_ERG_oe__RAGS_oe	AR_ERG_oe	RAGS_oe	OE	OE	AR_ERG	RAGS
DOUBLE	0.122382105	1.100509416	2.5986546	0.612343716	-0.0018	0.4468444	AR_ERG_oe__RAS_ko	AR_ERG_oe	RAS_ko	OE	KO	AR_ERG	RAS
DOUBLE	0.18472095	0.9828316278	2.6333483	0.6364991278	-0.0012	0.3687215	AR_ERG_oe__RAS_oe	AR_ERG_oe	RAS_oe	OE	OE	AR_ERG	RAS
DOUBLE	-0.0120676375000004	1.1175408695	2.5445143	0.546567469499999	0.0048	0.5473813	AR_ERG_oe__RB1_ko	AR_ERG_oe	RB1_ko	OE	KO	AR_ERG	RB1
DOUBLE	-1.399934787	2.468445349	3.2701895	1.284968509	0.015	0.5386616	AR_ERG_oe__RB1_oe	AR_ERG_oe	RB1_oe	OE	OE	AR_ERG	RB1
DOUBLE	0.120541494799999	1.1180014788	2.5261726	0.532786178799999	-0.0022	0.4891895	AR_ERG_oe__Rheb_ko	AR_ERG_oe	Rheb_ko	OE	KO	AR_ERG	Rheb
DOUBLE	0.0742699629999999	1.10296133	2.5871727	0.59480243	0.000599999999999996	0.4981266	AR_ERG_oe__Rheb_oe	AR_ERG_oe	Rheb_oe	OE	OE	AR_ERG	Rheb
DOUBLE	0.0356808597999994	1.1716825212	2.4415726	0.441878321199999	-0.0012	0.5986907	AR_ERG_oe__ROS_ko	AR_ERG_oe	ROS_ko	OE	KO	AR_ERG	ROS
DOUBLE	0.0120067510000004	0.9436986735	2.480882	0.4865779735	0.0014	0.3929625	AR_ERG_oe__ROS_oe	AR_ERG_oe	ROS_oe	OE	OE	AR_ERG	ROS
DOUBLE	-0.0137360150000001	0.938230275	2.541474	0.552205874999999	0.000199999999999999	0.3113494	AR_ERG_oe__RTK_ko	AR_ERG_oe	RTK_ko	OE	KO	AR_ERG	RTK
DOUBLE	-0.0202194804000007	1.2767751086	2.5073429	0.5143615086	-0.0032	0.6758137	AR_ERG_oe__RTK_oe	AR_ERG_oe	RTK_oe	OE	OE	AR_ERG	RTK
DOUBLE	0.0400043499999994	1.076132735	2.4730967	0.480847695	0.000799999999999995	0.5412616	AR_ERG_oe__RUNX2_ko	AR_ERG_oe	RUNX2_ko	OE	KO	AR_ERG	RUNX2
DOUBLE	0.0145980019999996	1.1751366977	2.555973	0.560121297699999	0.0062	0.5553557	AR_ERG_oe__RUNX2_oe	AR_ERG_oe	RUNX2_oe	OE	OE	AR_ERG	RUNX2
DOUBLE	0.120609516	1.1473796594	2.8063091	0.806346009399999	-0.0022	0.5144205	AR_ERG_oe__SHH_ko	AR_ERG_oe	SHH_ko	OE	KO	AR_ERG	SHH
DOUBLE	0.0431629895999999	0.0923100865999995	3.3459567	1.3463375866	0.0124	-1.005	AR_ERG_oe__SHH_oe	AR_ERG_oe	SHH_oe	OE	OE	AR_ERG	SHH
DOUBLE	0.0190346705	1.0137291705	2.5052534	0.5114143705	-0.000800000000000002	0.3760007	AR_ERG_oe__Slug_ko	AR_ERG_oe	Slug_ko	OE	KO	AR_ERG	Slug
DOUBLE	0.0249819999999996	0.955253466999999	2.65326	0.649826666999999	0.0042	0.308147	AR_ERG_oe__Slug_oe	AR_ERG_oe	Slug_oe	OE	OE	AR_ERG	Slug
DOUBLE	0.0912539699999995	0.236268798	2.2465135	0.251585848	0.0012	-0.0302820499999998	AR_ERG_oe__SMAD_ko	AR_ERG_oe	SMAD_ko	OE	KO	AR_ERG	SMAD
DOUBLE	-0.362168961	1.517148895	2.9037268	0.910273295	0.035	0.6569198	AR_ERG_oe__SMAD_oe	AR_ERG_oe	SMAD_oe	OE	OE	AR_ERG	SMAD
DOUBLE	0.0848650097999997	0.5659256432	2.8049046	0.8025080432	0.000199999999999999	-0.0948170999999999	AR_ERG_oe__SMO_ko	AR_ERG_oe	SMO_ko	OE	KO	AR_ERG	SMO
DOUBLE	-0.5117222304	4.0736760753	1.0325392	-0.9656910247	-0.0126	4.3366394	AR_ERG_oe__SMO_oe	AR_ERG_oe	SMO_oe	OE	OE	AR_ERG	SMO
DOUBLE	0.149645016	-0.372218668	0.2211425	-1.756251328	-0.0028	-0.0568495399999999	AR_ERG_oe__Snail_ko	AR_ERG_oe	Snail_ko	OE	KO	AR_ERG	Snail
DOUBLE	-0.1390715044	3.2461844774	4.7530235	2.7518504974	-0.0082	0.99241	AR_ERG_oe__Snail_oe	AR_ERG_oe	Snail_oe	OE	OE	AR_ERG	Snail
DOUBLE	-0.817364827	2.568792247	2.1498106	0.156525347	0.044	2.3329864	AR_ERG_oe__SPOP_ko	AR_ERG_oe	SPOP_ko	OE	KO	AR_ERG	SPOP
